TEXT_BASE 0x0
main, 0x10948: lui	a5,0x75
main, 0x1094c: ld	a4,-360(a5)
main, 0x10950: sd	a4,-104(s0)
main, 0x10954: li	a4,0
main, 0x10956: mv	a5,sp
main, 0x10958: mv	s10,a5
main, 0x1095a: lw	a5,-164(s0)
main, 0x1095e: sext.w	a4,a5
main, 0x10962: li	a5,2
main, 0x10964: blt	a5,a4,0x10980 <main+94>
main, 0x10980: ld	a5,-176(s0)
main, 0x10984: ld	a5,8(a5)
main, 0x10986: sd	a5,-144(s0)
main, 0x1098a: ld	a5,-144(s0)
main, 0x1098e: lbu	a5,0(a5)
main, 0x10992: mv	a4,a5
main, 0x10994: li	a5,91
main, 0x10998: bne	a4,a5,0x109a6 <main+132>
main, 0x109a6: ld	a0,-144(s0)
[CALL] main -> <strlen>
main, 0x109aa: jal	ra,0x24b60 <strlen>
strlen, 0x24b60: andi	a5,a0,7
strlen, 0x24b64: beqz	a5,0x24b7e <strlen+30>
strlen, 0x24b66: mv	a5,a0
strlen, 0x24b68: j	0x24b72 <strlen+18>
strlen, 0x24b72: lbu	a4,0(a5)
strlen, 0x24b76: bnez	a4,0x24b6a <strlen+10>
strlen, 0x24b6a: addi	a5,a5,1
strlen, 0x24b6c: andi	a4,a5,7
strlen, 0x24b70: beqz	a4,0x24b80 <strlen+32>
strlen, 0x24b72: lbu	a4,0(a5)
strlen, 0x24b76: bnez	a4,0x24b6a <strlen+10>
strlen, 0x24b6a: addi	a5,a5,1
strlen, 0x24b6c: andi	a4,a5,7
strlen, 0x24b70: beqz	a4,0x24b80 <strlen+32>
strlen, 0x24b72: lbu	a4,0(a5)
strlen, 0x24b76: bnez	a4,0x24b6a <strlen+10>
strlen, 0x24b6a: addi	a5,a5,1
strlen, 0x24b6c: andi	a4,a5,7
strlen, 0x24b70: beqz	a4,0x24b80 <strlen+32>
strlen, 0x24b72: lbu	a4,0(a5)
strlen, 0x24b76: bnez	a4,0x24b6a <strlen+10>
strlen, 0x24b6a: addi	a5,a5,1
strlen, 0x24b6c: andi	a4,a5,7
