TEXT_BASE 0x0
main, 0x1063c: lw	a5,-20(s0)
main, 0x10640: sext.w	a4,a5
main, 0x10644: li	a5,1
main, 0x10646: blt	a5,a4,0x10662 <main+56>
main, 0x10662: lui	a5,0x52
main, 0x10666: addi	a0,a5,848
[CALL] main -> <puts>
main, 0x1066a: jal	ra,0x1a536 <puts>
puts, 0x1a536: addi	sp,sp,-48
puts, 0x1a538: sd	s3,8(sp)
puts, 0x1a53a: auipc	s3,0x5e
puts, 0x1a53e: ld	s3,-1418(s3)
puts, 0x1a542: sd	s0,32(sp)
puts, 0x1a544: sd	s1,24(sp)
puts, 0x1a546: sd	s2,16(sp)
puts, 0x1a548: sd	ra,40(sp)
puts, 0x1a54a: sd	s4,0(sp)
puts, 0x1a54c: mv	s2,a0
[CALL] puts -> <strlen>
puts, 0x1a54e: jal	ra,0x24c98 <strlen>
strlen, 0x24c98: andi	a5,a0,7
strlen, 0x24c9c: beqz	a5,0x24cb6 <strlen+30>
strlen, 0x24cb6: mv	a5,a0
strlen, 0x24cb8: auipc	a6,0x31
strlen, 0x24cbc: ld	a6,808(a6)
strlen, 0x24cc0: auipc	a1,0x31
strlen, 0x24cc4: ld	a1,808(a1)
strlen, 0x24cc8: ld	a3,0(a5)
strlen, 0x24cca: mv	a2,a5
strlen, 0x24ccc: addi	a5,a5,8
strlen, 0x24cce: add	a4,a3,a6
strlen, 0x24cd2: not	a3,a3
strlen, 0x24cd6: and	a4,a4,a3
strlen, 0x24cd8: and	a4,a4,a1
strlen, 0x24cda: beqz	a4,0x24cc8 <strlen+48>
strlen, 0x24cc8: ld	a3,0(a5)
strlen, 0x24cca: mv	a2,a5
strlen, 0x24ccc: addi	a5,a5,8
strlen, 0x24cce: add	a4,a3,a6
strlen, 0x24cd2: not	a3,a3
strlen, 0x24cd6: and	a4,a4,a3
strlen, 0x24cd8: and	a4,a4,a1
strlen, 0x24cda: beqz	a4,0x24cc8 <strlen+48>
strlen, 0x24cc8: ld	a3,0(a5)
strlen, 0x24cca: mv	a2,a5
strlen, 0x24ccc: addi	a5,a5,8
strlen, 0x24cce: add	a4,a3,a6
strlen, 0x24cd2: not	a3,a3
strlen, 0x24cd6: and	a4,a4,a3
strlen, 0x24cd8: and	a4,a4,a1
strlen, 0x24cda: beqz	a4,0x24cc8 <strlen+48>
strlen, 0x24cc8: ld	a3,0(a5)
strlen, 0x24cca: mv	a2,a5
strlen, 0x24ccc: addi	a5,a5,8
strlen, 0x24cce: add	a4,a3,a6
strlen, 0x24cd2: not	a3,a3
strlen, 0x24cd6: and	a4,a4,a3
strlen, 0x24cd8: and	a4,a4,a1
strlen, 0x24cda: beqz	a4,0x24cc8 <strlen+48>
strlen, 0x24cdc: lbu	a4,-8(a5)
strlen, 0x24ce0: beqz	a4,0x24d14 <strlen+124>
strlen, 0x24ce2: lbu	a4,-7(a5)
strlen, 0x24ce6: beqz	a4,0x24d1a <strlen+130>
strlen, 0x24ce8: lbu	a4,-6(a5)
strlen, 0x24cec: beqz	a4,0x24d22 <strlen+138>
strlen, 0x24cee: lbu	a4,-5(a5)
strlen, 0x24cf2: beqz	a4,0x24d2a <strlen+146>
strlen, 0x24cf4: lbu	a4,-4(a5)
strlen, 0x24cf8: beqz	a4,0x24d32 <strlen+154>
strlen, 0x24cfa: lbu	a4,-3(a5)
strlen, 0x24cfe: beqz	a4,0x24d3a <strlen+162>
strlen, 0x24d00: lbu	a4,-2(a5)
strlen, 0x24d04: beqz	a4,0x24d42 <strlen+170>
strlen, 0x24d06: lbu	a4,-1(a5)
strlen, 0x24d0a: bnez	a4,0x24cc8 <strlen+48>
strlen, 0x24d0c: sub	a2,a2,a0
strlen, 0x24d0e: addi	a0,a2,7
strlen, 0x24d12: ret
puts, 0x1a552: ld	s1,0(s3)
puts, 0x1a556: mv	s0,a0
puts, 0x1a558: lw	a5,0(s1)
puts, 0x1a55a: srli	a5,a5,0xf
puts, 0x1a55c: andi	a5,a5,1
puts, 0x1a55e: bnez	a5,0x1a59e <puts+104>
puts, 0x1a560: ld	a5,136(s1)
puts, 0x1a562: addi	s4,tp,-2016 # 0xfffffffffffff820
puts, 0x1a566: ld	a4,8(a5)
puts, 0x1a568: beq	a4,s4,0x1a646 <puts+272>
puts, 0x1a56c: li	a3,1
puts, 0x1a56e: lr.w	a4,(a5)
puts, 0x1a57a: sext.w	a4,a4
puts, 0x1a57c: bnez	a4,0x1a664 <puts+302>
puts, 0x1a57e: ld	a5,136(s1)
puts, 0x1a580: ld	a0,0(s3)
puts, 0x1a584: sd	s4,8(a5)
puts, 0x1a588: lw	a4,4(a5)
puts, 0x1a58a: addiw	a4,a4,1
puts, 0x1a58c: sw	a4,4(a5)
puts, 0x1a58e: lw	a5,192(a0)
puts, 0x1a592: beqz	a5,0x1a5a6 <puts+112>
puts, 0x1a5a6: li	a5,-1
puts, 0x1a5a8: sw	a5,192(a0)
puts, 0x1a5ac: ld	s4,216(a0)
puts, 0x1a5b0: auipc	a5,0x5e
puts, 0x1a5b4: ld	a5,-984(a5)
puts, 0x1a5b8: auipc	a4,0x5e
puts, 0x1a5bc: ld	a4,-1296(a4)
puts, 0x1a5c0: sub	a4,a4,a5
puts, 0x1a5c2: sub	a5,s4,a5
puts, 0x1a5c6: bgeu	a5,a4,0x1a64a <puts+276>
puts, 0x1a5ca: ld	a5,56(s4)
puts, 0x1a5ce: mv	a2,s0
puts, 0x1a5d0: mv	a1,s2
[CALL] puts -> a5
puts, 0x1a5d2: jalr	a5
_IO_new_file_xsputn, 0x1cd44: addi	sp,sp,-64
_IO_new_file_xsputn, 0x1cd46: sd	s3,24(sp)
_IO_new_file_xsputn, 0x1cd48: sd	ra,56(sp)
_IO_new_file_xsputn, 0x1cd4a: sd	s0,48(sp)
_IO_new_file_xsputn, 0x1cd4c: sd	s1,40(sp)
_IO_new_file_xsputn, 0x1cd4e: sd	s2,32(sp)
_IO_new_file_xsputn, 0x1cd50: sd	s4,16(sp)
_IO_new_file_xsputn, 0x1cd52: sd	s5,8(sp)
_IO_new_file_xsputn, 0x1cd54: li	s3,0
_IO_new_file_xsputn, 0x1cd56: beqz	a2,0x1cd9c <_IO_new_file_xsputn+88>
_IO_new_file_xsputn, 0x1cd58: ld	a4,0(a0)
_IO_new_file_xsputn, 0x1cd5a: lui	a5,0x1
_IO_new_file_xsputn, 0x1cd5c: addi	a5,a5,-1536
_IO_new_file_xsputn, 0x1cd60: and	a4,a4,a5
_IO_new_file_xsputn, 0x1cd62: mv	s0,a0
_IO_new_file_xsputn, 0x1cd64: mv	s4,a2
_IO_new_file_xsputn, 0x1cd66: ld	a0,40(a0)
_IO_new_file_xsputn, 0x1cd68: mv	s1,a1
_IO_new_file_xsputn, 0x1cd6a: beq	a4,a5,0x1cdb0 <_IO_new_file_xsputn+108>
_IO_new_file_xsputn, 0x1cd6e: ld	a4,48(s0)
_IO_new_file_xsputn, 0x1cd70: bgeu	a0,a4,0x1cdda <_IO_new_file_xsputn+150>
_IO_new_file_xsputn, 0x1cdda: mv	s2,s4
_IO_new_file_xsputn, 0x1cddc: ld	s3,216(s0)
_IO_new_file_xsputn, 0x1cde0: auipc	a5,0x5b
_IO_new_file_xsputn, 0x1cde4: ld	a5,1016(a5)
_IO_new_file_xsputn, 0x1cde8: auipc	a4,0x5b
_IO_new_file_xsputn, 0x1cdec: ld	a4,704(a4)
_IO_new_file_xsputn, 0x1cdf0: sub	a4,a4,a5
_IO_new_file_xsputn, 0x1cdf2: sub	a5,s3,a5
_IO_new_file_xsputn, 0x1cdf6: bgeu	a5,a4,0x1ce6a <_IO_new_file_xsputn+294>
_IO_new_file_xsputn, 0x1cdfa: ld	a5,24(s3)
_IO_new_file_xsputn, 0x1cdfe: li	a1,-1
_IO_new_file_xsputn, 0x1ce00: mv	a0,s0
[CALL] _IO_new_file_xsputn -> a5
_IO_new_file_xsputn, 0x1ce02: jalr	a5
_IO_new_file_overflow, 0x1d5ba: lw	a5,0(a0)
_IO_new_file_overflow, 0x1d5bc: addi	sp,sp,-32
_IO_new_file_overflow, 0x1d5be: sd	s0,16(sp)
_IO_new_file_overflow, 0x1d5c0: sd	ra,24(sp)
_IO_new_file_overflow, 0x1d5c2: sd	s1,8(sp)
_IO_new_file_overflow, 0x1d5c4: sd	s2,0(sp)
_IO_new_file_overflow, 0x1d5c6: andi	a4,a5,8
_IO_new_file_overflow, 0x1d5ca: mv	s0,a0
_IO_new_file_overflow, 0x1d5cc: bnez	a4,0x1d6f4 <_IO_new_file_overflow+314>
_IO_new_file_overflow, 0x1d5d0: srli	a4,a5,0xb
_IO_new_file_overflow, 0x1d5d4: andi	a4,a4,1
_IO_new_file_overflow, 0x1d5d6: ld	a3,32(a0)
_IO_new_file_overflow, 0x1d5d8: mv	s1,a1
_IO_new_file_overflow, 0x1d5da: beqz	a4,0x1d61a <_IO_new_file_overflow+96>
_IO_new_file_overflow, 0x1d61a: beqz	a3,0x1d6b8 <_IO_new_file_overflow+254>
_IO_new_file_overflow, 0x1d6b8: mv	a0,s0
[CALL] _IO_new_file_overflow -> <_IO_doallocbuf>
_IO_new_file_overflow, 0x1d6ba: jal	ra,0x1e00c <_IO_doallocbuf>
_IO_new_file_overflow, 0x1d6be: ld	a2,56(s0)
_IO_new_file_overflow, 0x1d6c0: lw	a5,0(s0)
_IO_new_file_overflow, 0x1d6c2: sd	a2,24(s0)
_IO_new_file_overflow, 0x1d6c4: sd	a2,8(s0)
_IO_new_file_overflow, 0x1d6c6: sd	a2,16(s0)
_IO_new_file_overflow, 0x1d6c8: j	0x1d61e <_IO_new_file_overflow+100>
_IO_new_file_overflow, 0x1d61e: andi	a4,a5,256
_IO_new_file_overflow, 0x1d622: bnez	a4,0x1d6ca <_IO_new_file_overflow+272>
_IO_new_file_overflow, 0x1d624: ld	a1,64(s0)
_IO_new_file_overflow, 0x1d626: beq	a1,a2,0x1d69e <_IO_new_file_overflow+228>
_IO_new_file_overflow, 0x1d62a: ld	a3,16(s0)
_IO_new_file_overflow, 0x1d62c: lui	a4,0x1
_IO_new_file_overflow, 0x1d62e: addi	a4,a4,-2048
_IO_new_file_overflow, 0x1d632: lw	a0,192(s0)
_IO_new_file_overflow, 0x1d636: or	a4,a4,a5
_IO_new_file_overflow, 0x1d638: sd	a2,40(s0)
_IO_new_file_overflow, 0x1d63a: sd	a2,32(s0)
_IO_new_file_overflow, 0x1d63c: sd	a1,48(s0)
_IO_new_file_overflow, 0x1d63e: sd	a3,8(s0)
_IO_new_file_overflow, 0x1d640: sd	a3,24(s0)
_IO_new_file_overflow, 0x1d642: sw	a4,0(s0)
_IO_new_file_overflow, 0x1d644: bgtz	a0,0x1d5e0 <_IO_new_file_overflow+38>
_IO_new_file_overflow, 0x1d648: andi	a5,a5,514
_IO_new_file_overflow, 0x1d64c: beqz	a5,0x1d5e0 <_IO_new_file_overflow+38>
_IO_new_file_overflow, 0x1d5e0: li	s2,-1
_IO_new_file_overflow, 0x1d5e2: beq	s1,s2,0x1d656 <_IO_new_file_overflow+156>
_IO_new_file_overflow, 0x1d656: ld	a1,32(s0)
_IO_new_file_overflow, 0x1d658: mv	a0,s0
_IO_new_file_overflow, 0x1d65a: ld	s0,16(sp)
_IO_new_file_overflow, 0x1d65c: ld	ra,24(sp)
_IO_new_file_overflow, 0x1d65e: ld	s1,8(sp)
_IO_new_file_overflow, 0x1d660: ld	s2,0(sp)
_IO_new_file_overflow, 0x1d662: sub	a2,a2,a1
_IO_new_file_overflow, 0x1d664: addi	sp,sp,32
_IO_new_file_overflow, 0x1d666: j	0x1d08e <_IO_new_do_write>
_IO_new_do_write, 0x1d08e: bnez	a2,0x1d094 <_IO_new_do_write+6>
_IO_new_do_write, 0x1d090: li	a0,0
_IO_new_do_write, 0x1d092: ret
_IO_new_file_xsputn, 0x1ce04: li	a5,-1
_IO_new_file_xsputn, 0x1ce06: beq	a0,a5,0x1ce5a <_IO_new_file_xsputn+278>
_IO_new_file_xsputn, 0x1ce0a: ld	a5,64(s0)
_IO_new_file_xsputn, 0x1ce0c: ld	a3,56(s0)
_IO_new_file_xsputn, 0x1ce0e: li	a4,127
_IO_new_file_xsputn, 0x1ce12: mv	s5,s2
_IO_new_file_xsputn, 0x1ce14: sub	a5,a5,a3
